2020 annual reserve funding contribution amount:  ,$0  
2021 recommended annual reserve funding contribution amount:  ,"$364,168  "
2021 planned special assessment amount:  ,$0  
Total 2021 reserve funding and planned special assessment amount:  ,"$364,168  "
Difference between 2020 actual and 2021 recommended contribution amounts:  ,"$364,168  "
% Difference between 2020 actual and 2021 recommended contribution amounts:  ,100.00%  
